"filename", "language", "TypeScript", "HTML", "JSON", "Markdown", "CSS", "Log", "vue", "comment", "blank", "total"
"z:\8_code\ai-job-hunting\src\shared\utils\ai-delivery.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"z:\8_code\ai-job-hunting\src\shared\utils\message-cache.ts", "TypeScript", -52, 0, 0, 0, 0, 0, 0, -1, -12, -65
"z:\8_code\ai-job-hunting\src\shared\utils\preference.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 8, 70
"z:\8_code\ai-job-hunting\src\shared\utils\tools.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"z:\8_code\ai-job-hunting\src\state\login.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"z:\8_code\ai-job-hunting\src\state\push-result.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"z:\8_code\ai-job-hunting\src\state\user.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"z:\8_code\ai-job-hunting\src\styles\ui-migration.css", "CSS", 0, 0, 0, 0, 88, 0, 0, 1, 14, 103
"z:\8_code\ai-job-hunting\temp\README.md", "Markdown", 0, 0, 0, 55, 0, 0, 0, 0, 23, 78
"z:\8_code\ai-job-hunting\temp\app.80fffb17.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"z:\8_code\ai-job-hunting\temp\boss-ui.80fffb17.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"z:\8_code\ai-job-hunting\temp\http-server.log", "Log", 0, 0, 0, 0, 0, 97, 0, 0, 3, 100
"z:\8_code\ai-job-hunting\temp\zhipin-rendered-noscript.html", "HTML", 0, 3591, 0, 0, 0, 0, 0, 0, 341, 3932
"z:\8_code\ai-job-hunting\temp\zhipin-rendered.html", "HTML", 0, 3673, 0, 0, 0, 0, 0, 0, 329, 4002
"z:\8_code\ai-job-hunting\temp\zhipin-static-noscript.html", "HTML", 0, 28, 0, 0, 0, 0, 0, 4, 32, 64
"z:\8_code\ai-job-hunting\temp\zhipin-static.html", "HTML", 0, 84, 0, 0, 0, 0, 0, 4, 20, 108
"z:\8_code\ai-job-hunting\temp\zp-boss.80fffb17.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"z:\8_code\ai-job-hunting\vite.preview.config.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"Total", "-", -241, 7387, 1, 55, 92, 97, 702, 1, 1129, 9223
